id,label
0,14
1,11
2,10
3,14
4,0
5,12
6,2
7,3
8,11
9,2
10,8
11,14
12,14
13,1
14,13
15,13
16,0
17,7
18,2
19,2
20,0
21,17
22,11
23,10
24,2
25,10
26,15
27,16
28,10
29,3
30,1
31,13
32,1
33,11
34,6
35,10
36,15
37,18
38,8
39,4
40,6
41,4
42,4
43,18
44,8
45,0
46,2
47,12
48,16
49,16
50,18
51,11
52,4
53,3
54,2
55,0
56,0
57,2
58,8
59,4
60,6
61,15
62,10
63,14
64,9
65,18
66,18
67,8
68,5
69,1
70,10
71,6
72,5
73,15
74,2
75,2
76,11
77,8
78,15
79,6
80,9
81,2
82,13
83,9
84,0
85,2
86,8
87,4
88,15
89,0
90,10
91,0
92,0
93,14
94,12
95,4
96,8
97,1
98,15
99,11
100,10
101,2
102,11
103,0
104,16
105,2
106,1
107,7
108,11
109,2
110,1
111,14
112,4
113,1
114,10
115,0
116,1
117,7
118,1
119,8
120,13
121,0
122,12
123,13
124,11
125,11
126,17
127,11
128,5
129,18
130,10
131,16
132,9
133,17
134,17
135,11
136,15
137,3
138,8
139,2
140,11
141,8
142,3
143,0
144,1
145,14
146,3
147,16
148,16
149,10
150,13
151,3
152,18
153,7
154,5
155,7
156,9
157,15
158,9
159,2
160,13
161,2
162,8
163,0
164,0
165,12
166,6
167,3
168,2
169,0
170,4
171,9
172,18
173,14
174,9
175,7
176,16
177,5
178,15
179,0
180,15
181,8
182,9
183,0
184,3
185,1
186,15
187,12
188,2
189,2
190,0
191,0
192,16
193,10
194,13
195,9
196,9
197,4
198,11
199,5
200,6
201,10
202,15
203,7
204,3
205,7
206,8
207,19
208,16
209,7
210,15
211,10
212,9
213,1
214,12
215,13
216,0
217,18
218,15
219,13
220,6
221,4
222,9
223,12
224,18
225,12
226,11
227,17
228,1
229,18
230,1
231,19
232,1
233,19
234,8
235,2
236,5
237,3
238,18
239,11
240,12
241,17
242,15
243,7
244,0
245,16
246,4
247,15
248,2
249,11
250,8
251,11
252,17
253,4
254,19
255,16
256,11
257,5
258,16
259,1
260,11
261,18
262,15
263,12
264,5
265,10
266,7
267,4
268,6
269,0
270,11
271,4
272,4
273,1
274,12
275,11
276,2
277,7
278,3
279,3
280,5
281,0
282,17
283,8
284,1
285,8
286,1
287,15
288,5
289,1
290,2
291,10
292,14
293,11
294,4
295,13
296,18
297,19
298,8
299,2
300,13
301,15
302,14
303,0
304,8
305,8
306,8
307,9
308,8
309,0
310,11
311,7
312,6
313,3
314,11
315,19
316,10
317,17
318,11
319,19
320,4
321,14
322,10
323,13
324,13
325,16
326,0
327,5
328,11
329,19
330,1
331,12
332,15
333,17
334,5
335,10
336,19
337,14
338,17
339,3
340,8
341,3
342,4
343,3
344,6
345,19
346,14
347,8
348,11
349,18
350,10
351,3
352,7
353,8
354,1
355,19
356,4
357,12
358,14
359,10
360,10
361,0
362,7
363,13
364,13
365,8
366,10
367,0
368,13
369,5
370,8
371,9
372,6
373,4
374,0
375,14
376,0
377,9
378,17
379,14
380,8
381,7
382,6
383,18
384,14
385,12
386,16
387,2
388,4
389,14
390,0
391,2
392,6
393,0
394,6
395,8
396,6
397,12
398,12
399,18
400,17
401,13
402,5
403,13
404,5
405,4
406,11
407,3
408,18
409,3
410,12
411,0
412,16
413,0
414,11
415,17
416,10
417,2
418,2
419,6
420,17
421,17
422,2
423,4
424,3
425,7
426,0
427,0
428,8
429,8
430,9
431,4
432,9
433,5
434,12
435,8
436,6
437,13
438,4
439,0
440,8
441,10
442,2
443,14
444,5
445,0
446,10
447,6
448,18
449,19
450,7
451,8
452,12
453,7
454,11
455,18
456,3
457,4
458,11
459,17
460,17
461,6
462,11
463,5
464,11
465,2
466,1
467,4
468,8
469,9
470,2
471,16
472,7
473,17
474,1
475,10
476,2
477,0
478,18
479,10
480,6
481,9
482,1
483,7
484,0
485,1
486,4
487,18
488,13
489,17
490,12
491,2
492,8
493,13
494,15
495,6
496,8
497,8
498,16
499,10
500,18
501,1
502,11
503,5
504,16
505,3
506,5
507,9
508,19
509,18
510,6
511,1
512,3
513,10
514,3
515,6
516,3
517,3
518,0
519,2
520,0
521,16
522,2
523,8
524,6
525,19
526,11
527,1
528,3
529,3
530,3
531,3
532,5
533,16
534,9
535,7
536,19
537,4
538,17
539,14
540,9
541,11
542,7
543,7
544,13
545,14
546,16
547,8
548,8
549,17
550,17
551,2
552,1
553,0
554,4
555,17
556,7
557,9
558,16
559,13
560,19
561,2
562,11
563,13
564,5
565,18
566,1
567,17
568,6
569,15
570,0
571,9
572,12
573,18
574,14
575,17
576,15
577,1
578,12
579,9
580,2
581,17
582,18
583,9
584,18
585,0
586,7
587,16
588,15
589,1
590,15
591,12
592,8
593,7
594,2
595,2
596,10
597,19
598,5
599,12
600,19
601,3
602,9
603,18
604,13
605,17
606,9
607,0
608,0
609,17
610,7
611,10
612,13
613,15
614,17
615,17
616,6
617,7
618,5
619,0
620,10
621,9
622,11
623,0
624,6
625,5
626,2
627,17
628,5
629,15
630,12
631,0
632,10
633,13
634,8
635,0
636,9
637,14
638,17
639,13
640,2
641,1
642,13
643,7
644,2
645,7
646,17
647,8
648,13
649,3
650,1
651,2
652,0
653,8
654,9
655,3
656,5
657,17
658,10
659,12
660,4
661,1
662,18
663,3
664,15
665,3
666,9
667,0
668,12
669,7
670,8
671,2
672,4
673,11
674,15
675,9
676,5
677,4
678,18
679,4
680,11
681,8
682,15
683,16
684,17
685,6
686,3
687,9
688,8
689,3
690,1
691,8
692,18
693,16
694,12
695,2
696,6
697,11
698,11
699,1
700,15
701,5
702,0
703,16
704,15
705,5
706,12
707,4
708,1
709,4
710,3
711,12
712,16
713,0
714,17
715,4
716,11
717,12
718,10
719,4
720,16
721,8
722,18
723,4
724,14
725,1
726,0
727,1
728,3
729,15
730,11
731,4
732,17
733,4
734,8
735,15
736,6
737,11
738,14
739,17
740,16
741,9
742,9
743,3
744,4
745,0
746,3
747,6
748,17
749,19
750,14
751,18
752,6
753,3
754,12
755,3
756,8
757,18
758,17
759,4
760,16
761,8
762,13
763,9
764,19
765,6
766,12
767,17
768,9
769,14
770,8
771,1
772,12
773,6
774,3
775,10
776,1
777,2
778,10
779,2
780,5
781,1
782,10
783,17
784,4
785,1
786,10
787,17
788,9
789,8
790,1
791,8
792,11
793,15
794,4
795,7
796,12
797,11
798,1
799,8
800,1
801,18
802,3
803,2
804,3
805,5
806,12
807,16
808,16
809,16
810,16
811,10
812,14
813,4
814,16
815,1
816,17
817,11
818,3
819,4
820,12
821,18
822,2
823,19
824,7
825,9
826,6
827,0
828,9
829,2
830,17
831,3
832,10
833,0
834,17
835,5
836,0
837,0
838,4
839,3
840,9
841,2
842,6
843,17
844,8
845,1
846,16
847,5
848,6
849,0
850,18
851,9
852,1
853,7
854,14
855,11
856,11
857,7
858,13
859,11
860,14
861,18
862,2
863,14
864,10
865,4
866,2
867,11
868,12
869,13
870,3
871,10
872,16
873,17
874,0
875,4
876,10
877,7
878,9
879,15
880,12
881,11
882,12
883,9
884,0
885,13
886,10
887,8
888,16
889,9
890,19
891,1
892,6
893,10
894,3
895,10
896,1
897,5
898,2
899,17
900,4
901,2
902,4
903,13
904,8
905,9
906,0
907,0
908,8
909,16
910,13
911,17
912,4
913,11
914,3
915,12
916,11
917,18
918,12
919,2
920,6
921,17
922,6
923,4
924,10
925,9
926,10
927,18
928,2
929,4
930,6
931,12
932,9
933,15
934,2
935,5
